,RLG,BLG,PD,BL,VD,HD,LD,ID,ASD,MD,KD,CD,RD,HDB,FD,IUF,EP,DD,Population,Financial_Independence,Financial_often,PD_rate,BL_rate,VD_rate,HD_rate,LD_rate,ID_rate,ASD_rate,MD_rate,KD_rate,CD_rate,RD_rate,HDB_rate,FD_rate,IUF_rate,EP_rate,DD_rate,DD_ASD_rate
0,서울특별시,종로구,2661,574,717,905,42,396,111,271,251,11,23,46,6,34,20,507,161869,47.4083018514,63.5761819157,0.016439219368748804,0.003546077383563252,0.004429507811872564,0.005590940822516974,0.0002594690768460916,0.002446422724548864,0.000685739703093242,0.001674193329173591,0.0015506366259135473,6.795618679302399e-05,0.00014209020874905015,0.0002841804174981003,3.7067010978013084e-05,0.00021004639554207414,0.0001235567032600436,0.0031321624276421057,0.21893491124260356
1,서울특별시,중구,2613,568,735,809,33,304,67,220,226,13,27,34,5,36,22,371,136488,54.9287169587,61.1374615687,0.019144540179356427,0.004161538010667604,0.005385088799015298,0.005927261004630444,0.00024177949709864604,0.002227302033878436,0.0004908856456245237,0.0016118633139909735,0.0016558232225543637,9.524646855401208e-05,0.00019781958853525583,0.0002491061485258777,3.663325713615849e-05,0.0002637594513803411,0.00016118633139909736,0.00271818767950296,0.18059299191374664
2,서울특별시,용산구,3518,804,991,1144,66,530,106,298,343,22,44,65,6,68,20,636,245185,39.1823576698,55.5299621108,0.014348349205701817,0.003279156555254196,0.004041845953055856,0.004665864551257214,0.00026918449334176236,0.00216163305259294,0.000432326610518588,0.0012154087729673512,0.0013989436547912802,8.972816444725412e-05,0.00017945632889450824,0.0002651059404123417,2.447131757652385e-05,0.00027734159920060364,8.157105858841283e-05,0.002593959663111528,0.16666666666666666
3,서울특별시,성동구,5460,1219,1193,1581,104,710,174,436,462,37,94,77,15,85,39,884,308979,32.5022634934,54.7573514074,0.017671103861427475,0.003945251942688662,0.0038611038290628165,0.005116852601633121,0.0003365924545033805,0.002297890795167309,0.0005631450681114251,0.001411099136187249,0.0014952472498130942,0.00011974923862139498,0.00030422779541651695,0.000249207874968849,4.854698863029526e-05,0.0002750996022383398,0.00012622217043876767,0.002861035863278734,0.19683257918552036
4,서울특별시,광진구,5800,1252,1337,1656,94,818,167,521,588,37,63,68,8,105,49,985,366972,26.7164616669,51.9751602788,0.01580502054652671,0.003411704435215766,0.003643329736328657,0.004512605866387626,0.0002561503329954329,0.002229052897768767,0.00045507559159826906,0.0014197268456448994,0.0016023020829927079,0.00010082513107267039,0.00017167522317779014,0.00018530024089031315,2.180002834003684e-05,0.00028612537196298356,0.00013352517358272565,0.002684128489367036,0.16954314720812183
5,서울특별시,동대문구,7553,1665,1551,2260,131,895,148,634,636,37,86,100,19,110,46,1043,363023,23.7728583513,48.9703264939,0.020805844257801846,0.004586486255691788,0.004272456566112891,0.006225500863581646,0.0003608586783757503,0.0024654085278343245,0.0004076876671726034,0.0017464458174826388,0.0017519551102822687,0.00010192191679315085,0.00023689959038408035,0.00027546463998148876,5.2338281596482866e-05,0.0003030111039796377,0.00012671373439148483,0.002873096195006928,0.14189837008628955
6,서울특별시,중랑구,9816,2120,2043,2448,175,1288,215,868,858,58,130,95,16,161,70,1503,402024,18.1461365407,42.8875382971,0.024416452749089608,0.005273317015899549,0.005081786162020178,0.006089188705151931,0.00043529739518038724,0.00320378882852765,0.00053479394265019,0.0021590750800947207,0.00213420094322727,0.00014426999383121406,0.0003233637792768591,0.00023630430024078165,3.979861898792112e-05,0.00040047360356595626,0.00017411895807215488,0.00373858277117784,0.1430472388556221
7,서울특별시,성북구,8070,1885,1921,2501,154,1061,214,654,791,36,82,136,18,115,49,1275,454744,19.568625031,46.4412038979,0.017746248438681982,0.004145189381278258,0.004224354801822564,0.0054997976883697204,0.0003386520767728656,0.0023331808665974702,0.00047059444434670934,0.001438171806554897,0.0017394402125151733,7.916542054430625e-05,0.00018032123568425312,0.0002990693665007125,3.9582710272153126e-05,0.0002528895378498672,0.00010775293351863905,0.00280377531094418,0.16784313725490196
8,서울특별시,강북구,7872,1760,1992,2556,145,1185,149,731,702,37,100,92,10,134,52,1334,317695,16.7806398957,42.0631652718,0.024778482506806844,0.005539904625505595,0.006270164780685878,0.008045452399313808,0.00045641259698767686,0.0037299926029682557,0.0004690032893183714,0.002300949023434426,0.0022096665040368907,0.00011646390405892444,0.0003147673082673633,0.0002895859236059743,3.1476730826736335e-05,0.0004217881930782669,0.00016367900029902894,0.004198995892286627,0.11169415292353824
9,서울특별시,도봉구,6920,1678,1651,2157,106,1104,177,625,634,35,75,94,16,136,42,1281,335631,17.800278642,45.8235540968,0.020617880946634845,0.004999538183302496,0.004919092694059845,0.006426700751718405,0.0003158230318415164,0.003289326671255039,0.0005273648739240415,0.00186216410283913,0.0018889792659200133,0.00010428118975899128,0.0002234596923406956,0.0002800694810670051,4.7671401032681724e-05,0.0004052069087777947,0.00012513742771078952,0.003816691545179081,0.13817330210772832
10,서울특별시,노원구,12114,2934,2780,3479,229,2226,369,1464,1069,99,150,104,34,178,113,2595,537303,15.3662207896,41.1954238011,0.022545937766958308,0.00546060602676702,0.005173989350515445,0.006474931277137853,0.00042620271988058877,0.00414291377490913,0.0006867633346547479,0.0027247195716383495,0.001989566408525543,0.0001842535775902982,0.0002791720872580276,0.00019355931383223247,6.327900644515293e-05,0.00033128421021285943,0.0002103096390677141,0.004829677109563877,0.14219653179190753
11,서울특별시,은평구,9127,2204,2345,3110,176,1738,308,1150,874,54,134,140,25,164,68,2046,484546,17.4555813536,40.8408635359,0.018836188927367062,0.004548587750182645,0.004839581794091789,0.006418379266364804,0.00036322660800006606,0.003586862754000652,0.0006356465640001156,0.0023733556772731587,0.0018037503147276008,0.00011144452745456571,0.0002765475310909594,0.0002889302563636889,5.159468863637302e-05,0.000338461157454607,0.0001403375530909346,0.004222509318000767,0.15053763440860216
12,서울특별시,서대문구,5549,1410,1336,1820,118,811,150,513,579,32,47,92,10,116,29,961,323171,24.0679929193,48.2321305138,0.017170476311302686,0.004363015245798664,0.004134034303820578,0.00563169343783941,0.00036513177234343425,0.0025095073505976714,0.00046415055806368763,0.0015873949085778117,0.0017916211541258342,9.901878572025337e-05,0.00014543384152662214,0.0002846790089457284,3.0943370537579174e-05,0.00035894309823591845,8.973577455897961e-05,0.002973657908661359,0.15608740894901144
13,서울특별시,마포구,5776,1434,1463,1844,108,857,197,496,617,33,49,92,10,109,34,1054,385925,30.6815547724,48.349006659,0.014966638595582043,0.003715747878473797,0.0037908920126967674,0.004778130465764073,0.0002798471205545119,0.0022206387251408953,0.000510461877307767,0.0012852238129170176,0.0015987562350197578,8.550884239165641e-05,0.0001269676750663989,0.0002383882878797694,2.5911770421714065e-05,0.0002824382975966833,8.810001943382781e-05,0.0027311006024486623,0.1869070208728653
