"기초자치단체",지체,뇌병변,시각,청각,언어,지적장애,자폐성,정신장애,신장장애,심장장애,호흡기,간,안면,장루요루,뇌전증
"중구",1173,306,331,358,24,120,21,110,139,10,11,11,3,17,7
"서구",2820,662,696,889,54,486,51,486,314,15,34,24,5,35,19
"동구",2797,631,622,889,47,377,38,290,307,11,46,34,7,39,20
"영도구",4110,995,924,1252,60,557,60,468,435,36,52,34,16,54,39
"부산진구",8369,2052,1846,2781,174,1186,180,793,780,35,99,68,27,130,47
"동래구",5047,1404,1248,1635,97,766,162,472,582,31,66,56,18,77,34
"남구",5820,1531,1262,1906,120,892,185,537,592,53,66,64,13,69,42
"북구",7131,1803,1638,2133,132,1154,165,826,652,39,103,68,13,95,64
"해운대구",7775,2138,1798,2425,181,1134,273,794,773,52,121,115,21,117,63
"사하구",8179,1842,1828,2309,128,1229,180,1013,791,47,85,72,28,106,56
"금정구",4818,1375,1280,1822,106,882,135,585,468,34,69,72,11,75,38
"강서구",2395,519,508,635,51,460,112,124,173,13,21,37,8,26,7
"연제구",4227,1136,1061,1376,92,716,120,409,433,13,61,46,10,67,22
"수영구",3548,955,867,1156,72,489,140,362,418,22,48,44,12,56,14
"사상구",6358,1423,1303,1600,121,1015,122,710,494,33,69,50,29,75,54
"기장군",3948,959,811,1029,83,655,131,270,326,23,43,43,9,53,22
