"기초자치단체",지체,뇌병변,시각,청각,언어,지적장애,자폐성,정신장애,신장장애,심장장애,호흡기,간,안면,장루요루,뇌전증
"청주시",18035,3904,3708,5392,306,4619,434,1389,1577,67,159,202,41,245,111
"충주시",6111,1181,1379,2201,83,1285,119,390,418,21,41,68,10,86,30
"제천시",5714,821,857,1199,52,1033,65,262,273,9,29,48,14,60,26
"보은군",1499,244,293,609,22,300,11,112,66,0,13,20,2,15,6
"옥천군",2252,385,422,914,19,558,23,402,109,5,11,12,5,29,11
"영동군",2267,343,428,725,28,375,21,137,116,5,15,15,3,28,10
"증평군",1019,222,214,392,33,267,19,80,69,7,15,7,2,13,7
"진천군",2190,399,451,595,53,461,34,147,127,14,11,14,2,31,6
"괴산군",1785,277,316,693,31,406,9,163,82,2,13,17,2,27,10
"음성군",3288,658,549,817,51,1117,39,556,190,11,19,31,3,52,19
"단양군",1559,217,246,342,10,235,7,105,56,10,15,11,3,19,4
