"기초자치단체",지체,뇌병변,시각,청각,언어,지적장애,자폐성,정신장애,신장장애,심장장애,호흡기,간,안면,장루요루,뇌전증
"천안시",11925,2532,2768,3986,229,2511,358,1130,1042,63,118,136,31,136,59
"공주시",3993,742,700,1326,60,1088,67,434,242,7,35,31,8,54,19
"보령시",4368,600,724,1351,64,922,53,281,220,19,62,34,7,52,28
"아산시",7105,1313,1573,2362,171,1542,148,616,562,25,70,62,18,94,38
"서산시",4910,758,903,1799,82,863,84,306,257,18,32,47,11,60,25
"논산시",4663,948,841,1812,73,1052,47,798,216,9,38,28,8,58,32
"계룡시",737,171,148,238,19,135,22,50,66,2,5,3,3,14,2
"당진시",5305,746,981,1700,94,819,93,234,245,7,41,39,11,65,9
"금산군",2327,370,376,879,30,429,30,138,118,6,11,18,8,37,13
"부여군",3475,543,542,1265,44,634,35,320,151,9,22,27,3,40,13
"서천군",2815,455,476,920,34,500,17,191,120,9,16,13,4,34,11
"청양군",1548,245,268,771,25,256,11,87,58,1,19,9,1,20,11
"홍성군",3452,546,628,1594,34,546,50,360,193,4,32,25,7,33,7
"예산군",3349,581,705,1681,48,555,15,257,177,15,40,28,5,46,17
"태안군",2755,366,448,881,33,395,24,160,113,12,21,19,5,26,8
