"기초자치단체",지체,뇌병변,시각,청각,언어,지적장애,자폐성,정신장애,신장장애,심장장애,호흡기,간,안면,장루요루,뇌전증
"춘천시",7312,1655,1522,1865,126,1393,168,650,593,22,92,67,17,105,42
"원주시",8938,1897,1811,2835,144,1687,214,569,644,23,63,88,20,100,55
"강릉시",6505,1220,1293,1980,110,1036,110,494,445,25,92,71,12,84,29
"동해시",3558,561,573,1065,50,414,51,207,156,7,32,21,7,37,11
"태백시",2330,305,316,732,27,204,12,91,99,1,48,12,3,22,11
"속초시",2411,463,515,740,39,345,45,140,174,4,20,29,4,38,12
"삼척시",2912,399,509,836,48,350,17,180,135,5,25,23,2,32,16
"홍천군",2497,465,486,677,48,505,28,165,157,7,23,29,5,49,17
"횡성군",1857,308,347,563,15,336,12,102,93,9,13,24,5,37,4
"영월군",1943,282,285,426,19,301,11,82,79,4,24,10,2,27,5
"평창군",1633,284,300,503,21,251,15,66,68,2,13,14,3,24,1
"정선군",1814,259,263,503,24,283,13,72,79,4,31,18,4,14,4
"철원군",1484,269,261,431,16,411,15,72,75,4,9,11,2,21,3
"화천군",883,158,162,242,13,207,6,63,32,2,6,8,3,13,3
"양구군",756,126,163,220,19,100,12,42,44,2,12,5,1,11,5
"인제군",935,165,197,289,13,241,11,53,60,3,10,14,2,16,3
"고성군",1092,185,223,388,22,156,10,57,72,2,15,13,3,12,4
"양양군",1128,154,208,380,16,215,26,75,54,4,9,18,2,28,9
