"기초자치단체",지체,뇌병변,시각,청각,언어,지적장애,자폐성,정신장애,신장장애,심장장애,호흡기,간,안면,장루요루,뇌전증
"창원시",24375,4570,6480,401,3640,5025,702,1995,1910,76,178,218,56,247,119
"진주시",8503,1618,2309,168,1617,1712,218,910,715,24,85,78,18,95,40
"통영시",3844,779,856,73,632,691,70,255,304,8,19,34,11,40,14
"사천시",3590,685,902,71,732,627,58,369,217,8,18,34,11,28,25
"김해시",12116,2191,3165,207,2080,2386,416,919,910,36,101,93,32,118,55
"밀양시",3851,775,1952,49,733,794,45,382,249,9,37,40,8,60,21
"거제시",6066,947,1073,108,1068,918,155,263,341,12,61,56,14,61,18
"양산시",7214,1566,2298,137,1401,1790,210,753,642,42,91,102,16,120,33
"의령군",1327,265,279,401,15,371,6,146,49,0,13,11,2,19,6
"함안군",2604,428,720,34,400,472,44,196,145,4,22,23,5,19,5
"창녕군",2431,451,1068,45,461,495,21,249,148,8,17,24,3,32,7
"고성군",2348,408,601,22,417,359,23,301,127,6,20,11,3,24,12
"남해군",2084,395,723,34,367,378,16,141,121,7,24,11,3,30,10
"하동군",2317,426,588,17,387,330,21,210,100,3,26,17,7,33,10
"산청군",1724,292,544,36,329,322,19,146,93,1,15,16,3,19,7
"함양군",1811,335,658,34,290,250,16,253,81,4,10,16,1,22,4
"거창군",2535,431,788,28,419,382,26,207,162,4,19,21,1,24,5
"합천군",2172,409,988,31,400,382,14,239,101,10,17,14,7,30,10
