"기초자치단체",지체,뇌병변,시각,청각,언어,지적장애,자폐성,정신장애,신장장애,심장장애,호흡기,간,안면,장루요루,뇌전증
"중구",2912,486,576,600,51,299,24,141,173,5,19,22,2,41,12
"동구",2471,388,429,505,37,296,32,164,124,7,16,9,5,26,10
"미추홀구",11236,1899,2222,2235,196,1293,149,622,744,26,102,75,23,133,57
"연수구",6421,1171,1098,1144,89,951,137,391,439,21,65,55,6,58,39
"남동구",12732,2375,2477,2293,207,1552,233,749,872,37,121,113,23,163,67
"부평구",13465,2591,2827,2970,278,1944,237,982,959,54,117,128,28,126,84
"계양구",7365,1352,1440,1423,110,1039,170,424,498,23,66,61,13,76,50
"서구",11255,1940,2069,2010,163,1423,188,818,737,42,95,88,33,103,41
"강화군",2545,520,500,648,44,470,46,248,129,6,27,23,4,36,12
"옹진군",747,102,130,167,18,220,14,31,17,2,9,2,0,7,1
