"기초자치단체",지체,뇌병변,시각,청각,언어,지적장애,자폐성,정신장애,신장장애,심장장애,호흡기,간,안면,장루요루,뇌전증
"전주시",16598,3477,2977,4046,385,2856,314,1487,1010,38,71,161,29,158,113
"군산시",8974,1795,1580,2348,152,1570,114,585,497,23,55,60,19,85,53
"익산시",9347,1945,1910,3039,188,2204,150,870,513,14,67,58,16,104,62
"정읍시",5051,886,893,1386,86,1145,31,374,188,5,26,16,13,53,26
"남원시",3601,642,643,1380,68,686,36,482,167,17,17,16,9,24,38
"김제시",4792,700,721,1597,75,818,26,396,159,2,25,23,6,32,44
"완주군",4020,692,623,1067,67,876,33,385,149,6,22,23,3,32,18
"진안군",1404,178,240,496,23,271,13,98,44,5,9,7,0,15,12
"무주군",1290,200,206,404,14,237,12,68,45,4,7,6,0,7,8
"장수군",1287,145,180,420,15,171,4,88,28,6,6,13,0,13,11
"임실군",1698,254,248,463,32,294,7,119,43,2,4,10,1,12,5
"순창군",1437,215,261,575,16,277,11,102,51,4,10,11,3,11,12
"고창군",2917,440,524,797,40,501,16,213,109,15,19,21,10,20,11
"부안군",2697,446,416,795,59,438,18,191,98,17,17,17,2,31,17
