"기초자치단체",지체,뇌병변,시각,청각,언어,지적장애,자폐성,정신장애,신장장애,심장장애,호흡기,간,안면,장루요루,뇌전증
"목포시",6922,1397,1498,1502,95,1280,92,498,489,25,50,74,5,57,40
"여수시",8750,1569,1976,2672,125,1440,129,491,542,22,56,67,15,73,53
"순천시",7697,1514,1504,2371,115,1236,166,628,411,30,79,67,12,54,55
"나주시",4049,682,807,1156,61,917,53,615,174,3,31,30,4,62,15
"광양시",3967,640,739,1009,67,657,85,219,243,15,28,38,4,27,27
"담양군",1835,337,359,671,33,432,19,164,83,5,16,16,4,26,11
"곡성군",1594,234,295,593,23,338,7,115,50,3,13,10,3,11,14
"구례군",1451,217,265,494,13,189,6,91,52,2,11,13,1,19,2
"고흥군",4149,570,742,1053,41,438,17,279,149,13,23,22,1,35,13
"보성군",2147,341,421,799,33,379,13,169,82,4,18,18,2,27,14
"화순군",2324,423,523,875,31,466,24,213,119,10,28,18,3,31,19
"장흥군",2054,267,372,599,33,317,11,157,68,3,18,11,3,13,11
"강진군",1712,245,339,545,28,264,15,119,78,3,11,10,1,19,7
"해남군",3209,475,691,853,36,593,26,360,156,3,21,17,4,25,14
"영암군",2401,363,442,708,40,448,28,154,109,5,17,22,3,27,5
"무안군",3091,479,544,736,43,572,25,551,152,4,17,17,4,26,19
"함평군",1999,246,341,569,30,383,14,117,63,2,12,10,1,17,9
"영광군",2752,374,444,694,37,501,17,197,101,4,28,21,5,26,13
"장성군",1975,294,422,686,40,363,19,238,84,5,24,18,1,22,17
"완도군",2538,310,478,632,36,317,12,152,91,7,12,16,2,20,7
"진도군",1694,223,285,461,20,250,8,109,67,12,9,15,4,18,15
"신안군",2435,306,481,569,31,296,6,90,58,5,16,12,4,19,11
