기초자치단체,지체,뇌병변,시각,청각,언어,지적장애,자폐성,정신장애,신장장애,심장장애,호흡기,간,안면,장루요루,뇌전증
종로구,2661,574,717,905,42,396,111,271,251,11,23,46,6,34,20
중구,2613,568,735,809,33,304,67,220,226,13,27,34,5,36,22
용산구,3518,804,991,1144,66,530,106,298,343,22,44,65,6,68,20
성동구,5460,1219,1193,1581,104,710,174,436,462,37,94,77,15,85,39
광진구,5800,1252,1337,1656,94,818,167,521,588,37,63,68,8,105,49
동대문구,7553,1665,1551,2260,131,895,148,634,636,37,86,100,19,110,46
중랑구,9816,2120,2043,2448,175,1288,215,868,858,58,130,95,16,161,70
성북구,8070,1885,1921,2501,154,1061,214,654,791,36,82,136,18,115,49
강북구,7872,1760,1992,2556,145,1185,149,731,702,37,100,92,10,134,52
도봉구,6920,1678,1651,2157,106,1104,177,625,634,35,75,94,16,136,42
노원구,12114,2934,2780,3479,229,2226,369,1464,1069,99,150,104,34,178,113
은평구,9127,2204,2345,3110,176,1738,308,1150,874,54,134,140,25,164,68
서대문구,5549,1410,1336,1820,118,811,150,513,579,32,47,92,10,116,29
마포구,5776,1434,1463,1844,108,857,197,496,617,33,49,92,10,109,34
양천구,7981,1756,1715,2672,165,1153,261,616,683,46,94,123,12,130,49
강서구,12685,2982,2834,4116,245,2025,355,1589,1292,66,169,158,36,182,120
구로구,8333,1751,1920,2681,152,1205,275,635,729,56,95,95,27,136,51
금천구,5279,1094,1167,1683,92,767,113,438,446,45,59,50,16,85,39
영등포구,6583,1474,1574,2204,124,839,194,447,646,32,61,76,19,106,32
동작구,6447,1556,1569,2330,141,902,229,521,654,42,64,113,10,113,44
관악구,9173,1983,2296,2868,166,1325,235,851,937,54,97,104,14,137,59
서초구,4371,1217,1214,1437,83,743,282,365,527,31,58,121,2,79,26
강남구,6304,1798,1582,1891,128,1029,573,845,826,52,112,139,20,83,57
송파구,8861,2223,2088,2537,166,1527,630,653,1017,59,124,181,12,145,57
강동구,7901,1963,1818,2251,184,1340,401,594,779,44,90,120,19,108,57
