"남/북",기초자치단체,인구
"남부",수원시,1221913
"남부",성남시,955248
"남부",안양시,556570
"남부",부천시,842788
"남부",광명시,303068
"남부",평택시,560475
"남부",안산시,706185
"남부",과천시,63397
"남부",오산시,238956
"남부",시흥시,533305
"남부",군포시,280039
"남부",의왕시,164857
"남부",하남시,295620
"남부",용인시,1090907
"남부",이천시,225418
"남부",안성시,198234
"남부",김포시,492766
"남부",화성시,892884
"남부",광주시,393954
"남부",여주시,115358
"남부",양평군,120174
"북부",의정부시,466455
"북부",동두천시,97687
"북부",고양시,1090738
"북부",구리시,198856
"북부",남양주시,720462
"북부",파주시,476272
"북부",양주시,237370
"북부",포천시,159389
"북부",연천군,44433
"북부",가평군,63380
